SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,6008,6008,8750,2742,68.7,36,168,106,8
Antioquia Eje Cafetero,2602,2602,4900,2298,53.1,25,95,16,8
Caribe,1856,1856,2400,544,77.3,23,47,13,3
Santanderes & Boyaca,1372,1372,1470,98,93.3,16,28,11,2
Pacifico,3628,3628,4550,922,79.7,27,88,49,3
Sur y Llanos,3070,3070,5150,2080,59.6,20,103,42,4
Total 6 zonas,18536,18536,27220,8684,68.1,,529,237,28

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Bogota & Cundinamarca,C-2490,Business English 2,1,60,4,56,0,0
Bogota & Cundinamarca,C-2489,Business English 1,1,60,60,0,1,17
Bogota & Cundinamarca,C-2621,Manejo de Maquinas de Confeccion,2,120,120,0,2,1
Bogota & Cundinamarca,C-2552,Peinados y Trenzas,3,180,180,0,3,1
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,5,250,13,237,0,0
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,4,240,228,12,2,1
Bogota & Cundinamarca,C-2616,Economia del Hogar,9,450,281,169,0,0
Bogota & Cundinamarca,C-2500,Sin Limites Virtual,2,100,20,80,0,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,9,450,404,46,6,3
Bogota & Cundinamarca,C-2561,Portugues Nivel 1,3,180,180,0,3,9
Bogota & Cundinamarca,C-2502,Reposteria 2,2,100,100,0,2,0
Bogota & Cundinamarca,C-2540,Pintura en madera 1,3,180,118,62,1,0
Bogota & Cundinamarca,C-2739,Modisteria Reparacion y Modificacion de Prendas de Vestir,2,120,120,0,2,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,5,250,45,205,0,0
Bogota & Cundinamarca,C-2568,Italiano Nivel 1,1,60,60,0,1,16
Bogota & Cundinamarca,C-2567,Italiano Nivel 2,2,120,116,4,1,0
Bogota & Cundinamarca,C-2562,Portugues Nivel 2,1,60,19,41,0,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,13,650,650,0,13,5
Bogota & Cundinamarca,C-2535,Salud y Bienestar para Ovinos y Caprinos,1,60,30,30,0,0
Bogota & Cundinamarca,C-2504,Reposteria 1,3,150,150,0,3,2
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,6,300,97,203,0,0
Bogota & Cundinamarca,C-2579,Sistemas e Informatica | Nivel basico,7,350,0,350,0,0
Bogota & Cundinamarca,C-2592,Frances Nivel 2,2,100,80,20,0,0
Bogota & Cundinamarca,C-2565,Modisteria (Faldas),2,120,120,0,2,5
Bogota & Cundinamarca,C-2564,Munecas de Trapo,2,120,120,0,2,2
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,7,350,153,197,0,0
Bogota & Cundinamarca,C-2488,Bisuteria 1,5,300,243,57,3,0
Bogota & Cundinamarca,C-2610,Estrategias para la Busqueda de Empleo,7,350,60,290,0,0
Bogota & Cundinamarca,C-2593,Frances Nivel 1,4,200,200,0,4,15
Bogota & Cundinamarca,C-2566,Mi Negocio en Internet,4,200,22,178,0,0
Bogota & Cundinamarca,C-2539,Floristeria 1,2,120,120,0,2,2
Bogota & Cundinamarca,C-2617,Despertar Humano,10,500,249,251,0,0
Bogota & Cundinamarca,C-2581,Ingles Nivel 1,15,750,750,0,15,22
Bogota & Cundinamarca,C-2491,Comprension Lectora,10,500,455,45,8,2
Bogota & Cundinamarca,C-2619,Despertar Emprendedor,8,400,400,0,8,3
Bogota & Cundinamarca,C-2612,El ABC del Reciclaje,5,250,41,209,0,0
Antioquia Eje Cafetero,C-2690,Bienestar para la Persona Mayor,4,200,86,114,0,0
Antioquia Eje Cafetero,C-2737,Business English 1,1,50,50,0,1,0
Antioquia Eje Cafetero,C-2693,Despertar Emprendedor,3,150,150,0,3,0
Antioquia Eje Cafetero,C-2687,Sin Limites Virtual,1,50,11,39,0,0
Antioquia Eje Cafetero,C-2738,"Bisuteria 1, 2",1,50,50,0,1,1
Antioquia Eje Cafetero,C-2692,Estrategias para la Busqueda de Empleo,3,150,25,125,0,0
Antioquia Eje Cafetero,C-2641,Modisteria (Faldas),2,100,100,0,2,0
Antioquia Eje Cafetero,C-2730,Peinados y Trenzas,3,150,150,0,3,0
Antioquia Eje Cafetero,C-2682,Pintura en Madera,1,50,50,0,1,1
Antioquia Eje Cafetero,C-2644,Manejo de Maquinas de Confeccion,1,50,50,0,1,0
Antioquia Eje Cafetero,C-2639,Familias Empresarias del Campo,1,50,27,23,0,0
Antioquia Eje Cafetero,C-2629,Reposteria 1,3,150,150,0,3,3
Antioquia Eje Cafetero,C-2691,Comprension Lectora,7,350,350,0,7,2
Antioquia Eje Cafetero,C-2689,Sistemas e Informatica | Nivel basico,14,700,339,361,0,0
Antioquia Eje Cafetero,C-2519,BONSAI EN ALAMBRE Y PEDRERIA,1,50,0,50,0,0
Antioquia Eje Cafetero,C-2542,ENGLISH LEASING A CONVERSACION,1,100,0,100,0,0
Antioquia Eje Cafetero,C-2541,SISTEMAS E INFORMATICA • SISTEMA BASICO,1,100,3,97,0,0
Antioquia Eje Cafetero,C-2731,Orientacion Emprendedora,8,400,98,302,0,0
Antioquia Eje Cafetero,C-2686,Ingles Nivel 2,4,200,128,72,1,0
Antioquia Eje Cafetero,C-2637,Economia del Hogar,8,400,199,201,1,0
Antioquia Eje Cafetero,C-2684,Sistemas Nivel 2,5,250,92,158,0,0
Antioquia Eje Cafetero,C-2538,HUERTAS CASERAS,1,100,0,100,0,0
Antioquia Eje Cafetero,C-2694,El ABC del Reciclaje,3,150,30,120,0,0
Antioquia Eje Cafetero,C-2729,Ingles Nivel 1,5,250,250,0,5,9
Antioquia Eje Cafetero,C-2713,Despertar Humano,13,650,214,436,1,0
Caribe,C-2711,Manejo de Maquinas de Confeccion,1,60,60,0,1,0
